
At 17:23:57 9/25/97, lcsc3142.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; 68K).
At 17:26:55 9/25/97, lcsc3140.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; 68K).
At 19:16:14 9/25/97, blue-bbn.infoseek.com came here from  using Mozilla/3.01 (Win95; I).
At 19:16:14 9/25/97, blue-bbn.infoseek.com came here from  using Mozilla/3.01 (Win95; I).
At 19:26:58 9/25/97, accs03-6.ttu.edu came here from http://www.search.com/Infoseek/1,135,0,0200.html?OLDQUERY=minorities+in+the+21st+century+workforce%7Cminorities+in+the+workforce+of+the+21st+century&OLDCOLL=WW&QUERY=Pi+Kappa+Alpha&COLL=11 using Mozilla/2.0 (compatible; MSIE 3.02; AK; Windows 95).
At 20:21:00 9/25/97, 198.104.229.210 came here from http://www.infoseek.com/Titles?qt=fiction+writing%2C+science+fiction&sv=N4&st=10 using Mozilla/4.03 [en] (Win95; I).
At 20:54:13 9/25/97, shell9.ba.best.com came here from http://miso.wwa.com/~eaton//hope/ using Lynx/2.7.1ac-0.49 libwww-FM/2.14.
At 23:24:15 9/25/97, shell9.ba.best.com came here from http://miso.wwa.com/~eaton//hope/ using Lynx/2.7.1ac-0.49 libwww-FM/2.14.
At 00:19:12 9/26/97, digi2-055.wwa.com came here from http://www.infoseek.com/Titles?qt=hope+station&oq=freeform+scifi+roleplay&sv=IS&lk=noframes&nh=10 using Mozilla/4.03 (Macintosh; U; PPC, Nav).
At 00:21:18 9/26/97, digi2-055.wwa.com came here from  using Mozilla/4.03 (Macintosh; U; PPC, Nav).
At 00:21:25 9/26/97, digi2-055.wwa.com came here from  using Mozilla/4.03 (Macintosh; U; PPC, Nav).
At 08:20:31 9/26/97, i18.inktomi.com came here from  using Slurp/2.0 (slurp@inktomi.com; http://www.inktomi.com/slurp.html).
At 10:59:42 9/26/97, 209.49.170.2 came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01Gold (Win95; I).
At 12:47:09 9/26/97, lcsc3140.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; 68K).
At 16:36:57 9/26/97, lcsc3141.lcsc.edu came here from  using Mozilla/3.01 (Macintosh; U; PPC).
At 17:03:48 9/26/97, pool1-002.wwa.com came here from http://miso.wwa.com/~eaton/ using Mozilla/3.0 (Win95; U).
At 18:21:22 9/26/97, oro023.valley-internet.net came here from  using Mozilla/4.01 [en] (Win95; I).
At 22:36:26 9/26/97, 207.14.97.36 came here from  using Mozilla/3.01Gold (Win95; I).
At 00:42:01 9/27/97, 204.30.71.101 came here from http://www.otaking.org/nexus/Theme-Index.html using Mozilla/3.0C-NC320  (Win95; I).
At 01:11:58 9/28/97, knuth.stetson.edu came here from http://miso.wwa.com/~eaton// using Mozilla/4.02 [en] (X11; I; IRIX 6.2 IP22).
At 09:59:40 9/28/97, nrf-as9s47.erols.com came here from  using Mozilla/4.03 [en] (Win95; U).
At 10:30:18 9/28/97, ww-th03.proxy.aol.com came here from http://miso.wwa.com/~eaton/ using Mozilla/2.0 (compatible; MSIE 3.02; AOL 3.0; Windows 95).
At 21:40:04 9/28/97, ppp-037.m4-1.ham.ican.net came here from http://miso.wwa.com/~eaton/ using Mozilla/3.01 (Win95; I).
